threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy
0.2,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.201,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.202,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.203,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.20400000000000001,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.20500000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.20600000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.20700000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.20800000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.20900000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21000000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21100000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21200000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21300000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21400000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21500000000000002,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21600000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21700000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21800000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.21900000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22000000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22100000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22200000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22300000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22400000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22500000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22600000000000003,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22700000000000004,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22800000000000004,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.22900000000000004,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.23000000000000004,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.23100000000000004,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.23200000000000004,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.23300000000000004,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
