threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,negative_rejection_rate,weighted_error_cost
0.22627527849578857,10,0,10,0,0.5,1.0,0.6666666666666666,0.5,0.0,20.0
0.22627627849578857,10,0,10,0,0.5,1.0,0.6666666666666666,0.5,0.0,20.0
0.23951959609985352,10,0,9,1,0.5263157894736842,1.0,0.6896551724137931,0.55,0.1,18.0
0.25276291370391846,10,0,9,1,0.5263157894736842,1.0,0.6896551724137931,0.55,0.1,18.0
0.2627440392971039,10,0,8,2,0.5555555555555556,1.0,0.7142857142857143,0.6,0.2,16.0
0.2727251648902893,10,0,8,2,0.5555555555555556,1.0,0.7142857142857143,0.6,0.2,16.0
0.2777673304080963,10,0,7,3,0.5882352941176471,1.0,0.7407407407407407,0.65,0.3,14.0
0.2828094959259033,10,0,7,3,0.5882352941176471,1.0,0.7407407407407407,0.65,0.3,14.0
0.2869509160518646,10,0,6,4,0.625,1.0,0.7692307692307693,0.7,0.4,12.0
0.2910923361778259,10,0,6,4,0.625,1.0,0.7692307692307693,0.7,0.4,12.0
0.29184433817863464,10,0,5,5,0.6666666666666666,1.0,0.8,0.75,0.5,10.0
0.29259634017944336,10,0,5,5,0.6666666666666666,1.0,0.8,0.75,0.5,10.0
0.3032872676849365,10,0,4,6,0.7142857142857143,1.0,0.8333333333333333,0.8,0.6,8.0
0.3139781951904297,10,0,4,6,0.7142857142857143,1.0,0.8333333333333333,0.8,0.6,8.0
0.32775789499282837,10,0,3,7,0.7692307692307693,1.0,0.8695652173913044,0.85,0.7,6.0
0.34153759479522705,10,0,3,7,0.7692307692307693,1.0,0.8695652173913044,0.85,0.7,6.0
0.35543131828308105,10,0,2,8,0.8333333333333334,1.0,0.9090909090909091,0.9,0.8,4.0
0.36932504177093506,10,0,2,8,0.8333333333333334,1.0,0.9090909090909091,0.9,0.8,4.0
0.39304473996162415,10,0,1,9,0.9090909090909091,1.0,0.9523809523809523,0.95,0.9,2.0
0.41676443815231323,10,0,1,9,0.9090909090909091,1.0,0.9523809523809523,0.95,0.9,2.0
0.4240220785140991,10,0,0,10,1.0,1.0,1.0,1.0,1.0,0.0
0.431279718875885,10,0,0,10,1.0,1.0,1.0,1.0,1.0,0.0
0.5230659246444702,9,1,0,10,1.0,0.9,0.9473684210526316,0.95,1.0,1.0
0.6148521304130554,9,1,0,10,1.0,0.9,0.9473684210526316,0.95,1.0,1.0
0.668908029794693,8,2,0,10,1.0,0.8,0.888888888888889,0.9,1.0,2.0
0.7229639291763306,8,2,0,10,1.0,0.8,0.888888888888889,0.9,1.0,2.0
0.7328876554965973,7,3,0,10,1.0,0.7,0.8235294117647058,0.85,1.0,3.0
0.742811381816864,7,3,0,10,1.0,0.7,0.8235294117647058,0.85,1.0,3.0
0.7439745664596558,6,4,0,10,1.0,0.6,0.7499999999999999,0.8,1.0,4.0
0.7451377511024475,6,4,0,10,1.0,0.6,0.7499999999999999,0.8,1.0,4.0
0.7453020215034485,5,5,0,10,1.0,0.5,0.6666666666666666,0.75,1.0,5.0
0.7454662919044495,5,5,0,10,1.0,0.5,0.6666666666666666,0.75,1.0,5.0
0.7544258832931519,4,6,0,10,1.0,0.4,0.5714285714285715,0.7,1.0,6.0
0.7633854746818542,4,6,0,10,1.0,0.4,0.5714285714285715,0.7,1.0,6.0
0.7640730738639832,3,7,0,10,1.0,0.3,0.4615384615384615,0.65,1.0,7.0
0.7647606730461121,3,7,0,10,1.0,0.3,0.4615384615384615,0.65,1.0,7.0
0.7660460472106934,2,8,0,10,1.0,0.2,0.33333333333333337,0.6,1.0,8.0
0.7673314213752747,2,8,0,10,1.0,0.2,0.33333333333333337,0.6,1.0,8.0
0.7706754505634308,1,9,0,10,1.0,0.1,0.18181818181818182,0.55,1.0,9.0
0.7740194797515869,1,9,0,10,1.0,0.1,0.18181818181818182,0.55,1.0,9.0
0.7740204797515869,0,10,0,10,0.0,0.0,0.0,0.5,1.0,10.0
